# Aluminum phonon density of states. 
# x axis: energy in meV
# Energy(meV)     DOS
1.479142784708064795e+01 1.915635298232576389e-02
1.487314844292087379e+01 1.953943572073314761e-02
1.495486903876109785e+01 1.997354125985493709e-02
1.503658963460132192e+01 2.047055820073849855e-02
1.511831023044154598e+01 2.103613796820519993e-02
1.520003082628177182e+01 2.164872048949448638e-02
1.528175142212199589e+01 2.228377965836024488e-02
1.536347201796221995e+01 2.294475816425440781e-02
1.544519261380244579e+01 2.361073869522762464e-02
1.552691320964266986e+01 2.424515208699376881e-02
1.560863380548289392e+01 2.485938272280182118e-02
1.569035440132311976e+01 2.544429406668171842e-02
1.577207499716334382e+01 2.600123891991376612e-02
1.585379559300356789e+01 2.655554560407626455e-02
1.593551618884379195e+01 2.709864867262086821e-02
1.601723678468401602e+01 2.763757034214465655e-02
1.609895738052424008e+01 2.822565572250588031e-02
1.618067797636446770e+01 2.894218140309548493e-02
1.626239857220469176e+01 2.985451888419051250e-02
1.634411916804491582e+01 3.101074638446804643e-02
1.642583976388513989e+01 3.240606924320485471e-02
1.650756035972536395e+01 3.398727723462319217e-02
1.658928095556558802e+01 3.575034792920925297e-02
1.667100155140581208e+01 3.771147597634826043e-02
1.675272214724603970e+01 3.984283141940017647e-02
1.683444274308626376e+01 4.211210729963380667e-02
1.691616333892648782e+01 4.446872453603305242e-02
1.699788393476671189e+01 4.682414805355047255e-02
1.707960453060693595e+01 4.910537232855708561e-02
1.716132512644716002e+01 5.122835370377807479e-02
1.724304572228738408e+01 5.308637130356819861e-02
1.732476631812761170e+01 5.466738897936801456e-02
1.740648691396783576e+01 5.595715165197256286e-02
1.748820750980805983e+01 5.690268378715970798e-02
1.756992810564828389e+01 5.753786214268149374e-02
1.765164870148850795e+01 5.791958159198237061e-02
1.773336929732873202e+01 5.809975964214288829e-02
1.781508989316895963e+01 5.811364189200267372e-02
1.789681048900918370e+01 5.796784047369947512e-02
1.797853108484940776e+01 5.770942956481945468e-02
1.806025168068963183e+01 5.742331415501984726e-02
1.814197227652985589e+01 5.714825839407592506e-02
1.822369287237007995e+01 5.687369816786010807e-02
1.830541346821030402e+01 5.661252426997031434e-02
1.838713406405053163e+01 5.638763328566760713e-02
1.846885465989075570e+01 5.617791044521054655e-02
1.855057525573097976e+01 5.594279796824456336e-02
1.863229585157120383e+01 5.568392796996681632e-02
1.871401644741142789e+01 5.542566319704810007e-02
1.879573704325165195e+01 5.523948179173914647e-02
1.887745763909187602e+01 5.518713323675111804e-02
1.895917823493210363e+01 5.520697026185463624e-02
1.904089883077232770e+01 5.524004098829283366e-02
1.912261942661255176e+01 5.524535444502864934e-02
1.920434002245277583e+01 5.514505060978775602e-02
1.928606061829299989e+01 5.494260688527186076e-02
1.936778121413322395e+01 5.469651167665580405e-02
1.944950180997344802e+01 5.446420323623089171e-02
